####################        &&&&                         #######################
#####################       &&&&                                           #####
######################                                                      ####
#######################                                                      ###
########################                                                      ##
#######################################################################        #
        ####################^^^^^^^^^^^^^^^#                                   #
         ###################^^^^^^^^^^^^^^^#                       &&&&        #
          ##################^^^^^^^^^^^^^^^#                       &&&&        #
                         ###^^^^^^^^^^^^^^^#           &&&&                    #
                          ##^^^^^^^^^^^^^^^#           &&&&                    #
                           #################                                   #
                                                                   &&&&        #
                           #################                       &&&&        #
                          ##^^^^^^^^^^^^^^^#                                   #
                         ###^^^^^^^^^^^^^^^#              &&&&                 #
           #################^^^^^^^^^^^^^^^#              &&&&                 #
          ##################^^^^^^^^^^^^^^^#                                   #
         ###################^^^^^^^^^^^^^^^#                                   #
#######################################################################        #
########################                                                      ##
#######################                    &&&&                              ###
######################                     &&&&                             ####
#####################                                                      #####
####################                                     #######################
