################################################################################
#####                                                                      #####
####                                                                        ####
###                                                                          ###
##                                                                            ##
#                                                                              #
                                                                                
                             &&&             &&&                                
                             &&&             &&&                                
                                                                                
                                                                                
                             &                 &                                
                              &               &                                 
                               &             &                                  
                                &&&&&&&&&&&&&                                   
                                                                                
                                                                                
                                                                                
                                                                                
#                                                                              #
##                                                                            ##
###                                                                          ###
####                                                                        ####
#####                                                                      #####
####################                                     #######################
